status,url_length,digits_len,num_subdomains,domain_length,path_length,uses_https,count_hyphens,count_at,count_dots,suspicious_words,special_char_count,shannon_entropy
0,37,0,1,19,11,0,0,0,3,0,7,3.787042812031905
1,77,17,0,23,47,0,0,0,1,0,7,4.419864470453802
1,126,19,3,50,20,1,1,0,4,3,19,4.753412094896157
0,18,0,1,11,0,0,0,0,2,0,5,3.461320140211008
0,55,0,1,15,33,0,2,0,2,0,10,4.097662278358699
1,32,0,2,24,1,0,1,0,3,0,8,3.6665301730294653
0,19,0,1,12,0,0,0,0,2,0,5,3.260828171224455
1,81,21,1,27,47,0,0,0,2,0,8,4.771112319170577
0,42,0,1,34,1,0,0,0,2,0,6,4.195539744052798
0,104,8,0,10,86,1,10,0,1,0,18,4.481455590414628
0,56,0,1,22,26,1,0,0,3,0,9,4.344566583470219
0,43,8,1,16,19,1,3,0,2,0,9,4.286275219617123
0,83,1,0,14,61,1,9,0,1,0,15,4.281211648465453
1,31,2,0,10,14,0,0,0,2,0,6,3.8488846166291193
0,25,0,1,16,1,1,0,0,2,0,6,3.7532696895151076
1,51,1,2,23,7,0,0,0,3,0,10,4.444401999165797
0,31,0,1,22,1,1,0,0,2,0,6,3.7843684875968617
1,50,3,1,21,22,0,0,0,2,0,8,4.174177320667443
1,34,0,1,23,4,0,0,0,2,0,7,4.0796786498829745
0,27,4,1,19,1,0,0,0,2,0,6,4.032303242743954
0,63,0,2,14,42,0,2,0,3,0,13,4.075590044566195
0,66,0,1,16,42,1,4,0,2,0,11,4.2980550138102505
1,40,4,0,11,22,0,0,0,2,0,8,4.393942707918268
0,48,0,0,16,25,0,3,0,1,0,9,4.1551876989901
1,126,12,3,50,19,0,1,0,4,3,18,4.710764845058316
1,41,0,1,32,1,1,0,0,2,0,6,4.064392248309453
0,36,0,1,27,1,1,0,0,2,0,6,4.141604167868593
0,72,0,1,24,41,0,7,0,2,0,15,4.187132212342207
1,68,11,3,42,19,0,0,0,4,2,9,4.552115370751692
1,163,65,1,14,32,0,9,1,4,0,23,4.803363778168904
0,26,0,1,18,1,0,0,0,2,0,6,3.921029621737614
1,64,22,1,17,40,0,0,0,2,0,7,4.591578664259099
1,36,9,3,28,1,0,0,0,4,0,8,4.239097917988785
1,61,0,0,14,40,0,0,0,2,0,10,4.0864177725789865
0,66,14,1,17,15,1,0,0,2,0,9,4.951379490761219
0,35,0,1,26,1,1,0,0,2,0,6,4.068728288980287
1,113,0,0,24,82,0,0,0,5,0,19,4.421436190177326
0,41,0,1,34,0,0,4,0,2,0,9,3.6468455293152156
0,23,0,1,12,4,0,1,0,2,0,7,3.6424896731661267
0,31,0,1,24,0,0,1,0,2,0,6,4.039211536948156
1,84,0,0,30,47,0,2,0,2,1,12,4.23580353402117
1,29,0,1,17,5,0,0,0,2,0,6,4.0472990984266435
1,98,29,1,26,65,0,2,0,2,0,14,4.825204589986269
0,15,0,0,8,0,0,0,0,1,0,4,3.189898095464287
0,65,0,1,22,36,0,0,0,2,0,11,4.308766613255314
1,131,4,1,27,87,1,1,0,2,1,19,5.242899292283031
0,50,0,1,23,19,1,1,0,2,0,8,4.191272380112911
