status,url_length,digits_len,num_subdomains,domain_length,path_length,has_ip,uses_https,count_hyphens,count_at,count_dots,suspicious_words,digit_ratio,special_char_count,shannon_entropy,relative_entropy
0,37,0,1,19,11,0,0,0,0,3,0,0.0,7,3.787042812031905,0.9467607030079762
1,77,17,0,23,47,0,0,0,0,1,0,0.22077922077922077,7,4.419864470453802,0.9098151011473307
1,126,19,3,50,20,0,1,1,0,4,3,0.15079365079365079,19,4.753412094896157,0.9423157632855016
0,18,0,1,11,0,0,0,0,0,2,0,0.0,5,3.461320140211008,0.9655108357520403
0,55,0,1,15,33,0,0,2,0,2,0,0.0,10,4.097662278358699,0.9481097760987836
1,32,0,2,24,1,0,0,1,0,3,0,0.0,8,3.6665301730294653,0.9166325432573663
0,19,0,1,12,0,0,0,0,0,2,0,0.0,5,3.260828171224455,0.942590728967473
1,81,21,1,27,47,0,0,0,0,2,0,0.25925925925925924,8,4.771112319170577,0.9542224638341154
0,42,0,1,34,1,0,0,0,0,2,0,0.0,6,4.195539744052798,0.955199576946451
0,104,8,0,10,86,0,1,10,0,1,0,0.07692307692307693,18,4.481455590414628,0.9045777174834376
0,56,0,1,22,26,0,1,0,0,3,0,0.0,9,4.344566583470219,0.9355514912448174
0,43,8,1,16,19,0,1,3,0,2,0,0.18604651162790697,9,4.286275219617123,0.9611707468959718
0,83,1,0,14,61,0,1,9,0,1,0,0.012048192771084338,15,4.281211648465453,0.933750635428768
1,31,2,0,10,14,0,0,0,0,2,0,0.06451612903225806,6,3.8488846166291193,0.9416317080088147
0,25,0,1,16,1,0,1,0,0,2,0,0.0,6,3.7532696895151076,0.9606794963068364
1,51,1,2,23,7,0,0,0,0,3,0,0.0196078431372549,10,4.444401999165797,0.945528985727201
0,31,0,1,22,1,0,1,0,0,2,0,0.0,6,3.7843684875968617,0.9460921218992154
1,50,3,1,21,22,0,0,0,0,2,0,0.06,8,4.174177320667443,0.9360334853487401
1,34,0,1,23,4,0,0,0,0,2,0,0.0,7,4.0796786498829745,0.9603927178540248
0,27,4,1,19,1,0,0,0,0,2,0,0.14814814814814814,6,4.032303242743954,0.9669965865931024
0,63,0,2,14,42,0,0,2,0,3,0,0.0,13,4.075590044566195,0.9430027420834295
0,66,0,1,16,42,0,1,4,0,2,0,0.0,11,4.2980550138102505,0.9785392539073654
1,40,4,0,11,22,0,0,0,0,2,0,0.1,8,4.393942707918268,0.946184060908962
0,48,0,0,16,25,0,0,3,0,1,0,0.0,9,4.1551876989901,0.9460126168115959
1,126,12,3,50,19,0,0,1,0,4,3,0.09523809523809523,18,4.710764845058316,0.9421529690116632
1,41,0,1,32,1,0,1,0,0,2,0,0.0,6,4.064392248309453,0.956794162670316
0,36,0,1,27,1,0,1,0,0,2,0,0.0,6,4.141604167868593,0.9749705367526855
0,72,0,1,24,41,0,0,7,0,2,0,0.0,15,4.187132212342207,0.9532854321109732
1,68,11,3,42,19,0,0,0,0,4,2,0.16176470588235295,9,4.552115370751692,0.946906447423968
1,163,65,1,14,32,0,0,9,1,4,0,0.3987730061349693,23,4.803363778168904,0.9152877523296873
0,26,0,1,18,1,0,0,0,0,2,0,0.0,6,3.921029621737614,0.9592820226197302
1,64,22,1,17,40,0,0,0,0,2,0,0.34375,7,4.591578664259099,0.9551153885459014
1,36,9,3,28,1,0,0,0,0,4,0,0.25,8,4.239097917988785,0.950591528362567
1,61,0,0,14,40,0,0,0,0,2,0,0.0,10,4.0864177725789865,0.945508042443609
0,66,14,1,17,15,0,1,0,0,2,0,0.21212121212121213,9,4.951379490761219,0.9577275278422563
0,35,0,1,26,1,0,1,0,0,2,0,0.0,6,4.068728288980287,0.9578149052929507
1,113,0,0,24,82,0,0,0,0,5,0,0.0,19,4.421436190177326,0.9298718819668348
0,41,0,1,34,0,0,0,4,0,2,0,0.0,9,3.6468455293152156,0.8922027357683965
0,23,0,1,12,4,0,0,1,0,2,0,0.0,7,3.6424896731661267,0.9566982190348623
0,31,0,1,24,0,0,0,1,0,2,0,0.0,6,4.039211536948156,0.9508663987709542
1,84,0,0,30,47,0,0,2,0,2,1,0.0,12,4.23580353402117,0.9121306433536761
1,29,0,1,17,5,0,0,0,0,2,0,0.0,6,4.0472990984266435,0.9527702828303908
1,98,29,1,26,65,0,0,2,0,2,0,0.29591836734693877,14,4.825204589986269,0.9650409179972538
0,15,0,0,8,0,0,0,0,0,1,0,0.0,4,3.189898095464287,0.9602550098461563
0,65,0,1,22,36,0,0,0,0,2,0,0.0,11,4.308766613255314,0.9278423872691748
1,131,4,1,27,87,0,1,1,0,2,1,0.030534351145038167,19,5.242899292283031,0.9337792045973893
0,50,0,1,23,19,0,1,1,0,2,0,0.0,8,4.191272380112911,0.9542280251369764
1,51,0,1,32,12,0,0,0,0,2,1,0.0,7,4.287539254067758,0.9478237052389162
0,45,6,1,11,26,0,1,0,0,3,0,0.13333333333333333,9,4.322315530038771,0.9427155684171737
1,159,43,0,14,51,0,0,0,0,2,0,0.27044025157232704,16,4.917410844470601,0.9303758996659932
1,44,10,1,22,14,0,1,1,0,2,0,0.22727272727272727,8,4.618078209349709,0.9606276807565349
1,103,8,1,19,4,0,1,1,1,3,0,0.07766990291262135,12,5.208074012864434,0.9483272624945309
1,46,0,2,20,19,0,0,0,0,4,0,0.0,10,4.013041446157795,0.9447057261352889
0,45,0,1,16,21,0,1,0,0,2,0,0.0,8,4.143607886039516,0.9433762379172721
1,51,0,2,26,18,0,0,0,0,3,0,0.0,9,4.0322539597804266,0.9492285230902345
1,38,0,1,19,12,0,0,0,0,3,0,0.0,8,3.893086896197163,0.9336107711411128
1,81,23,1,27,47,0,0,0,0,2,0,0.2839506172839506,8,4.774811040285755,0.9385446516818697
0,112,0,1,31,74,0,0,10,0,2,0,0.0,17,4.309917821209997,0.9280902864089496
1,39,0,1,16,15,0,1,0,0,2,0,0.0,7,3.9233659245349726,0.9408720596120893
1,99,8,1,15,76,0,1,2,0,2,0,0.08080808080808081,14,5.234860534743135,0.9532047640243158
0,45,0,1,27,10,0,1,1,0,2,0,0.0,7,4.224751985026256,0.9618503351138734
1,60,2,3,35,18,0,0,1,0,5,0,0.03333333333333333,11,4.129085753935211,0.9400699804894751
0,74,6,1,19,48,0,0,0,0,3,0,0.08108108108108109,17,4.635081832331412,0.9355870340893813
0,61,0,1,18,36,0,0,3,0,3,0,0.0,11,4.079332469209647,0.9603112238378884
1,40,5,3,32,0,0,1,0,0,4,0,0.125,7,4.215311532225101,0.9597010248768227
1,52,2,1,24,21,0,0,0,0,3,1,0.038461538461538464,8,4.378727103656465,0.9429075588727219
1,88,0,2,24,33,0,1,1,1,7,0,0.0,15,4.325560813820691,0.9314588215167202
0,74,2,0,12,27,0,0,0,0,2,0,0.02702702702702703,10,4.18588130783542,0.9013804770811559
0,46,3,1,16,23,0,0,1,0,2,0,0.06521739130434782,9,4.468576629687865,0.9622556011805865
0,54,0,1,17,30,0,0,0,0,3,0,0.0,8,4.367964298652708,0.9526717607757278
1,54,0,0,21,26,0,0,1,0,1,0,0.0,9,4.233795548692773,0.9494025047942155
0,38,0,1,16,14,0,1,0,0,2,1,0.0,8,4.238334671954105,0.9504203751529315
0,67,0,1,15,45,0,0,3,0,2,0,0.0,11,4.361417557494121,0.9512438884305218
1,62,0,0,13,42,0,0,1,0,5,0,0.0,14,4.350294142705842,0.9367848539936972
1,59,4,0,17,35,0,0,0,0,3,0,0.06779661016949153,10,4.342507092741192,0.9351080040555366
1,57,1,2,38,11,0,1,0,0,4,0,0.017543859649122806,8,4.166333549959635,0.9485501954737691
