url_length,digits_len,num_subdomains,domain_length,path_length,uses_https,count_hyphens,count_at,count_dots,suspicious_words,special_char_count,shannon_entropy,status
31,0,1,22,1,1,0,0,2,0,6,3.937751955408586,0
62,0,1,16,38,1,5,0,2,0,13,4.214446570661587,0
68,0,0,17,44,0,1,0,3,1,11,4.152345561265892,1
45,1,1,38,0,0,0,0,2,0,5,4.180307540581811,1
32,0,1,25,0,0,0,0,2,0,5,3.976409765557392,0
32,1,1,15,10,0,1,0,2,0,8,3.9292292966721742,0
92,8,1,36,48,1,1,0,2,0,11,4.6740811521900305,1
125,23,3,50,20,0,1,0,4,3,19,4.760879566063512,1
68,19,1,15,45,1,0,0,4,0,13,4.454586923020085,0
42,5,1,19,16,0,1,0,3,0,8,4.14161920818398,0
37,1,0,6,6,1,0,0,1,0,7,4.7902702574039004,1
25,0,1,16,1,1,0,0,2,0,6,3.833269689515107,0
77,22,0,23,47,0,0,0,1,0,7,4.739516133467922,1
198,38,0,19,47,0,4,0,6,1,28,5.493773417236846,1
81,5,1,12,62,0,2,0,4,0,13,4.527897460038843,1
48,2,1,24,17,0,0,0,3,0,8,4.183208073322318,1
59,4,0,21,31,0,0,0,2,1,12,4.4904571936428965,1
34,0,1,11,16,0,0,0,2,0,8,3.9002708419385663,0
77,0,2,47,22,1,0,0,4,0,9,4.138132932345107,1
30,0,1,21,1,1,1,0,2,0,7,3.8729055953200566,0
72,0,1,16,49,0,3,0,2,0,13,4.4960429751225695,1
42,0,1,16,18,1,0,0,3,0,8,4.198532530221199,1
23,4,1,15,1,0,0,0,2,0,6,3.5227119556807582,0
54,0,1,16,31,0,0,0,3,0,9,4.152970956533507,0
36,0,0,14,15,0,1,0,1,0,7,4.048688113203415,0
23,0,1,15,1,0,1,0,2,0,7,3.501397825434103,0
34,0,1,27,0,0,0,0,2,0,5,4.197325708706504,0
32,0,1,25,0,0,0,0,2,0,5,3.926108500731241,0
70,0,1,22,40,1,0,0,5,0,10,4.098268869096043,1
54,10,1,17,29,1,0,0,2,0,6,5.0092456038951285,1
28,1,1,15,6,0,0,0,2,0,6,3.8423709931771097,0
32,0,0,18,7,0,1,0,1,0,7,3.902518266288633,1
56,18,1,15,34,0,0,0,2,0,7,4.684250404386513,1
21,0,1,14,0,0,0,0,2,0,5,3.689703732199547,0
43,0,1,16,19,1,0,0,2,0,8,3.885826825457272,1
92,18,1,22,63,0,1,0,2,0,12,4.696245282812941,1
96,6,1,21,67,1,7,0,2,0,16,4.4138023010255125,0
39,0,1,31,1,0,2,0,2,0,8,4.182336834024969,1
67,4,1,17,43,0,3,0,3,0,12,4.578794556252628,0
